GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
branch-service,com.ironflow.branchservice,BranchServiceApplication,5,3,0,0,2,1,1,1,1,1
branch-service,com.ironflow.branchservice.controller,SucursalController,0,47,0,0,0,10,0,5,0,5
branch-service,com.ironflow.branchservice.exception,RecursoNoEncontradoException,0,4,0,0,0,2,0,1,0,1
branch-service,com.ironflow.branchservice.exception,ManejadorGlobalExcepciones,32,46,2,0,5,9,2,5,1,5
branch-service,com.ironflow.branchservice.exception,ErrorApi,0,21,0,0,0,1,0,1,0,1
branch-service,com.ironflow.branchservice.config,OpenApiConfig,0,17,0,0,0,5,0,2,0,2
branch-service,com.ironflow.branchservice.service,SucursalService,0,170,0,0,0,46,0,9,0,9
branch-service,com.ironflow.branchservice.dto,SucursalResponse,0,27,0,0,0,1,0,1,0,1
