GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-gateway,com.ironflow.gateway.config,SecurityConfig,0,297,0,2,0,35,0,8,0,7
api-gateway,com.ironflow.gateway,ApiGatewayApplication,5,3,0,0,2,1,1,1,1,1
