GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
access-service,com.ironflow.accesservice.exception,ManejadorGlobalExcepciones,32,46,2,0,5,9,2,5,1,5
access-service,com.ironflow.accesservice.exception,ErrorApi,0,21,0,0,0,1,0,1,0,1
access-service,com.ironflow.accesservice.exception,RecursoNoEncontradoException,0,4,0,0,0,2,0,1,0,1
access-service,com.ironflow.accesservice.config,OpenApiConfig,0,17,0,0,0,5,0,2,0,2
access-service,com.ironflow.accesservice.dto,RegistroAccesoResponse,0,18,0,0,0,1,0,1,0,1
access-service,com.ironflow.accesservice,AccessServiceApplication,5,3,0,0,2,1,1,1,1,1
access-service,com.ironflow.accesservice.controller,RegistroAccesoController,0,40,0,0,0,9,0,4,0,4
access-service,com.ironflow.accesservice.service,RegistroAccesoService,0,123,2,6,0,36,2,9,0,7
access-service,com.ironflow.accesservice.client,MembershipClient,19,9,0,0,6,3,1,1,1,1
