GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notification-service,com.ironflow.notificationservice.dto,NotificacionResponse,0,24,0,0,0,1,0,1,0,1
notification-service,com.ironflow.notificationservice,NotificationServiceApplication,5,3,0,0,2,1,1,1,1,1
notification-service,com.ironflow.notificationservice.client,MemberClient,49,9,2,0,9,3,6,1,5,1
notification-service,com.ironflow.notificationservice.service,NotificacionService,0,208,0,2,0,60,0,12,0,11
notification-service,com.ironflow.notificationservice.config,OpenApiConfig,0,17,0,0,0,3,0,2,0,2
notification-service,com.ironflow.notificationservice.controller,NotificacionController,0,53,0,0,0,11,0,6,0,6
notification-service,com.ironflow.notificationservice.exception,ManejadorGlobalExcepciones,32,46,2,0,5,9,2,5,1,5
notification-service,com.ironflow.notificationservice.exception,ErrorApi,0,21,0,0,0,1,0,1,0,1
notification-service,com.ironflow.notificationservice.exception,RecursoNoEncontradoException,0,4,0,0,0,2,0,1,0,1
